author,title,year,genre,volume,word_count,source,file_path,notes
burney,Evelina,1778,novel,,86620,Project Gutenberg,burney/Evelina.txt,
burney,Cecilia,1782,novel,1,107840,Project Gutenberg,burney/CeciliaVol1.txt,
burney,Cecilia,1782,novel,2,109586,Project Gutenberg,burney/CeciliaVol2.txt,
burney,Cecilia,1782,novel,3,112692,Project Gutenberg,burney/CeciliaVol3.txt,
burney,Camilla,1796,novel,,357412,Project Gutenberg,burney/Camilla.txt,
burney,The Wanderer,1814,novel,1,70466,Project Gutenberg,burney/TheWandererVol1.txt,
burney,The Wanderer,1814,novel,2,70271,Project Gutenberg,burney/TheWandererVol2.txt,
burney,The Wanderer,1814,novel,3,68454,Project Gutenberg,burney/TheWandererVol3.txt,
burney,The Wanderer,1814,novel,4,54405,Project Gutenberg,burney/TheWandererVol4.txt,
burney,The Wanderer,1814,novel,5,61217,Project Gutenberg,burney/TheWandererVol5.txt,
austen,Pride and Prejudice,1813,novel,,127359,Project Gutenberg,austen/PrideAndPrejudice.txt,
radcliffe,A Sicilian Romance,1790,novel,,67569,Project Gutenberg,radcliffe/ASicilianRomance.txt,
radcliffe,The Mysteries of Udolpho,1794,novel,,290377,Project Gutenberg,radcliffe/Udolpho.txt,
richardson,Pamela,1740,novel,,221465,Project Gutenberg,richardson/Pamela.txt,
fielding,Tom Jones,1749,novel,,350588,Project Gutenberg,fielding/TomJones.txt,
smollett,The Adventures of Ferdinand Count Fathom,1753,novel,,161655,Project Gutenberg,smollett/FerdinandFathom.txt,
smollett,The Expedition of Humphry Clinker,1771,novel,,148355,Project Gutenberg,smollett/HumphryClinker.txt,
edgeworth,Castle Rackrent,1800,novel,,45073,Project Gutenberg,edgeworth/CastleRackrent.txt,
